Date,Close,High,Low,Open,Volume
2025-01-14,786.4500122070312,802.5,703.75,712.3250122070312,1965708
2025-01-15,781.2000122070312,786.0,757.5,776.0499877929688,278346
2025-01-16,754.5,799.5,750.75,786.1749877929688,411418
2025-01-17,754.8499755859375,764.7999877929688,752.0499877929688,756.2750244140625,112414
2025-01-20,765.9249877929688,768.5,753.75,754.9749755859375,117978
2025-01-21,764.7249755859375,804.9749755859375,757.625,787.5,988148
2025-01-22,759.6749877929688,768.7249755859375,745.0,763.5,224984
2025-01-23,755.0999755859375,769.375,753.4249877929688,765.0499877929688,86554
2025-01-24,738.4500122070312,766.4249877929688,730.375,766.4249877929688,224716
2025-01-27,689.7750244140625,735.0250244140625,673.2000122070312,735.0250244140625,365978
2025-01-28,681.25,698.2999877929688,663.0250244140625,685.9749755859375,350672
2025-01-29,699.7000122070312,726.0250244140625,677.5,677.5,501966
2025-01-30,753.625,782.5,705.0,705.0750122070312,3704556
2025-01-31,801.5499877929688,824.0,764.1500244140625,764.5999755859375,622876
2025-02-01,781.3499755859375,818.9000244140625,770.5,810.0,171472
2025-02-03,732.0999755859375,783.8499755859375,726.0499877929688,765.7000122070312,291963
2025-02-04,733.75,759.9500122070312,724.8499755859375,749.0,259067
2025-02-05,733.0,745.5999755859375,729.4000244140625,738.0,138123
2025-02-06,723.75,739.5,719.1500244140625,733.0,161865
2025-02-07,712.2999877929688,728.0,701.0,723.0,233879
2025-02-10,683.2999877929688,721.4500122070312,679.0999755859375,715.6500244140625,282599
2025-02-11,656.7999877929688,684.9000244140625,653.0,683.0,203016
2025-02-12,624.75,654.9500122070312,595.25,653.2000122070312,1104114
2025-02-13,630.2999877929688,652.9000244140625,625.0,625.0,558968
2025-02-14,594.7999877929688,639.4500122070312,589.9500122070312,635.0,343773
2025-02-17,587.5,601.7999877929688,565.7000122070312,593.0,428776
2025-02-18,566.8499755859375,606.9000244140625,557.0,585.0,460374
2025-02-19,647.5999755859375,674.0,559.1500244140625,563.75,879879
2025-02-20,609.7000122070312,676.2000122070312,602.0,659.1500244140625,5209221
2025-02-21,605.0,617.5,591.4000244140625,609.7000122070312,1498224
2025-02-24,597.7000122070312,609.4000244140625,586.2000122070312,597.0499877929688,417029
2025-02-25,583.6500244140625,606.3499755859375,580.0,595.0,454712
2025-02-27,546.3499755859375,588.8499755859375,543.3499755859375,583.6500244140625,961252
2025-02-28,516.5,547.2999877929688,514.0,543.3499755859375,678153
2025-03-03,517.9000244140625,529.4000244140625,491.45001220703125,513.9500122070312,814222
2025-03-04,523.9000244140625,532.9500122070312,501.1000061035156,512.0,461731
2025-03-05,540.1500244140625,548.7999877929688,519.9500122070312,521.0,709100
2025-03-06,540.2000122070312,556.9500122070312,537.2000122070312,537.2000122070312,390149
2025-03-07,549.0999755859375,568.8499755859375,537.2000122070312,537.2000122070312,769666
2025-03-10,526.3499755859375,556.7000122070312,521.2000122070312,554.2999877929688,348732
2025-03-11,510.45001220703125,522.6500244140625,505.29998779296875,521.0,473280
2025-03-12,508.8500061035156,524.7999877929688,501.95001220703125,510.1499938964844,345372
2025-03-13,496.8500061035156,515.8499755859375,494.1499938964844,507.0,491727
2025-03-17,493.1499938964844,509.0,489.79998779296875,495.0,467609
2025-03-18,493.1499938964844,493.1499938964844,493.1499938964844,493.1499938964844,0
2025-03-19,540.2999877929688,544.0,524.75,527.6500244140625,502962
2025-03-20,545.4000244140625,552.9500122070312,533.0,541.0,535661
2025-03-21,568.0,573.0,538.0499877929688,542.4500122070312,802615
2025-03-24,662.0499877929688,672.9000244140625,574.7000122070312,574.7000122070312,13389877
2025-03-25,641.0999755859375,661.9000244140625,633.2000122070312,661.9000244140625,1869087
2025-03-26,617.75,645.0,615.0,639.0,749946
2025-03-27,605.3499755859375,622.7999877929688,600.0,614.0,855782
2025-03-28,591.7999877929688,624.9500122070312,575.0,608.0,523427
2025-04-01,605.9500122070312,615.9500122070312,581.3499755859375,582.5,549959
2025-04-02,611.9000244140625,618.6500244140625,588.0499877929688,609.0,312261
2025-04-03,619.9000244140625,626.0,598.0,604.0,283336
2025-04-04,606.5999755859375,624.3499755859375,593.7999877929688,619.0,314449
2025-04-07,587.6500244140625,594.0,505.1499938964844,505.1499938964844,528104
2025-04-08,599.3499755859375,614.4000244140625,589.0,600.0,267100
2025-04-09,587.0,599.9000244140625,583.2999877929688,595.0,152113
2025-04-11,618.1500244140625,623.7000122070312,598.7999877929688,612.0499877929688,497195
2025-04-15,625.0499877929688,634.9500122070312,603.7999877929688,633.0,268180
2025-04-16,694.75,707.5999755859375,633.0,633.0,22076001
2025-04-17,700.6500244140625,704.75,682.5499877929688,694.75,2374531
2025-04-21,706.9500122070312,716.2999877929688,694.0,701.0,865689
2025-04-22,702.0,716.25,698.5499877929688,708.0499877929688,787142
2025-04-23,707.0499877929688,716.0,685.7999877929688,705.0,783601
2025-04-24,696.0,713.8499755859375,691.5499877929688,707.9000244140625,336847
2025-04-25,675.0,698.0,659.0499877929688,694.0,699682
2025-04-28,675.4500122070312,685.4500122070312,665.4500122070312,672.0499877929688,354678
2025-04-29,679.0999755859375,697.7000122070312,673.0,683.1500244140625,398926
2025-04-30,650.2000122070312,681.5,645.0,680.0,334287
2025-05-02,643.9500122070312,661.7000122070312,640.2999877929688,653.4500122070312,268323
2025-05-05,692.3499755859375,704.0,630.0999755859375,652.7999877929688,5398948
2025-05-06,681.1500244140625,713.0,665.4500122070312,697.9500122070312,3073911
2025-05-07,665.9000244140625,686.4000244140625,651.75,661.0,1196200
2025-05-08,644.2000122070312,684.7000122070312,631.0,670.8499755859375,509279
2025-05-09,620.75,632.9500122070312,613.0,625.5499877929688,667546
2025-05-12,691.75,702.0,651.0,675.0,5727074
2025-05-13,688.5499877929688,699.0,672.0499877929688,686.0,834227
2025-05-14,683.9000244140625,693.0,678.0,689.5,533268
2025-05-15,713.7999877929688,729.7999877929688,686.4000244140625,686.7999877929688,3413238
2025-05-16,726.0499877929688,737.0,717.0,721.0,1195994
2025-05-19,726.4500122070312,741.8499755859375,707.0499877929688,728.0,759000
2025-05-20,719.25,739.4500122070312,710.1500244140625,730.0499877929688,687407
2025-05-21,721.5,733.9000244140625,711.25,720.0,560311
2025-05-22,710.9000244140625,732.0,704.4500122070312,721.0,366189
2025-05-23,740.5,765.0,728.0,730.0,5691738
2025-05-26,731.4500122070312,744.0,721.1500244140625,739.4000244140625,661884
2025-05-27,728.7999877929688,740.7999877929688,722.6500244140625,735.4500122070312,466080
2025-05-28,722.2000122070312,733.8499755859375,720.0,731.5,246264
2025-05-29,722.3499755859375,728.9000244140625,719.5,721.8499755859375,233641
2025-05-30,717.1500244140625,736.2999877929688,713.2999877929688,723.7999877929688,453035
2025-06-02,717.5,731.9500122070312,713.0,718.9000244140625,319112
2025-06-03,707.4000244140625,723.25,705.0999755859375,720.8499755859375,235739
2025-06-04,713.5499877929688,724.9000244140625,703.5499877929688,710.7000122070312,409100
2025-06-05,713.8499755859375,729.0,712.0,716.9000244140625,238202
2025-06-06,707.75,716.7000122070312,706.0,714.9000244140625,227538
2025-06-09,735.2999877929688,766.25,711.25,713.4000244140625,3528982
2025-06-10,731.5999755859375,739.2999877929688,727.7000122070312,739.25,302248
2025-06-11,723.8499755859375,740.9500122070312,715.1500244140625,733.0,379867
2025-06-12,709.5,727.5999755859375,704.0,723.8499755859375,269649
2025-06-13,701.3499755859375,707.0,688.9000244140625,690.0499877929688,300250
